cod_form,nam_form
1.0,"აბი,დრაჟე,კაფსულა,ფხვნილი,ცხიმ"
2.0,"ამპულები, ფლაკონები(სტერილური)"
3.0,გალენური ფორმები გარეგნ ხსნარი
4.0,"მალამო, კრემი, ჟელე, პასტა, სანთ."
5.0,რეზინის და პლასტმასის ნაწარმი
6.0,მცენარეული ფორმები
7.0,სამედიცინო ტექნიკ.ნაკეთობა(ა)
8.0,შესახვევი მასალები
9.0,ინფუზიური ხსნარები
10.0,"სტომატოლოგია:მასალები,ინსტრუმ."
11.0,"აეროზოლები, ინჰალატორები"
12.0,პირადი ჰიგიენის საგნები
13.0,ბავშვთა კვება
14.0,ბავშვთა აქსესუარები
15.0,"სარეცეპტუროს ჭურჭელი, მასალები"
16.0,მაცივარში და გრილ ადგილას
17.0,საყოფაცხოვრებო მოხმარების საგნ
18.0,სამედიცინო დანიშნულ თეთრეული
19.0,"პოლიგრაფიული,სარეკლამო ნაწარმი"
20.0,სამედიცინო ტექ.ნაკეთობა(ბ)
21.0,კვების პროდუქტები
