cod_saxe,nam_saxe,cod_form
1.0,ტაბლეტი,1.0
2.0,ტაბლეტი საღეჭი,1.0
3.0,ტაბლეტი შუშხუნა,1.0
4.0,კაფსულა,1.0
5.0,მიკროკაფსულა,1.0
6.0,ფხვნილი შინაგანი,1.0
7.0,ფხვნილი გარეგანი,1.0
8.0,ფხვნ.ლიოფილიზირ,1.0
9.0,მედ/ნედლეული,1.0
10.0,ინპლანტანტი,1.0
11.0,გრანულა,1.0
12.0,დრაჟე,1.0
13.0,მიკროდრაჟე,1.0
14.0,კაპლეტი,1.0
15.0,ნაყენი,3.0
16.0,ხსნარი წყლიანი,3.0
17.0,ხს.სპირტ.გარეგანი,3.0
18.0,ხს.გლიცერინიანი,3.0
19.0,ხსნარი ზეთოვანი,2.0
20.0,სიროფი,3.0
21.0,წვენი,3.0
22.0,ექსტრაქტ.სქელი,3.0
23.0,ექსტრაქტ.მშრალი,3.0
24.0,ექსტრაქტ.სითხოვანი,3.0
25.0,ექსტრ.ზეთოვანი,3.0
26.0,საკ/დანამატი,1.0
27.0,სუსპ.ორალური,3.0
28.0,სუსპ.საინექციო,2.0
29.0,ელექსირი,3.0
30.0,ემულსია,3.0
31.0,ფხვნილი სტერილ.,2.0
32.0,ხს.საინექ.ამპულ,2.0
33.0,ხს.საინექ.ფლ.,2.0
34.0,ხს.ინფუზიური,9.0
35.0,მალამო,4.0
36.0,სუპოზიტორია,4.0
37.0,ლინიმენტი,4.0
38.0,კრემი,4.0
39.0,ჟელე გარეგ.,4.0
40.0,პასტა,4.0
41.0,ემპლასტრო,1.0
42.0,თვალის წვეთები,2.0
43.0,თვალის მალამო,4.0
44.0,თვალ.ფირფიტები,5.0
45.0,ცხვ.ყურის წვ.,2.0
46.0,ტაბლეტი საწ.,1.0
47.0,კარამელი სამკ.,1.0
48.0,მც/ნაკრები,6.0
49.0,ბრიკეტი,6.0
50.0,ს/მცენარე,6.0
51.0,ს/ჩაი,6.0
52.0,"აეროზოლი, სპრეი",11.0
53.0,ავად.მოვ/საგ.,5.0
54.0,პირადი ჰიგ.საგ.,12.0
55.0,ბავშვთა კვება,13.0
56.0,ბ/აქსესუარები,14.0
57.0,შესახვევი მასალ,5.0
58.0,მედ.ტექნიკა,5.0
60.0,საყოფაც.მოხ.საგ,5.0
61.0,სტომატოლოგია,10.0
62.0,ხს.ორალური ფლ,2.0
63.0,ხს.საინ.კარპულა,2.0
64.0,ჟელე შინაგანი,1.0
65.0,ხს.საპნ.შამპუნი,12.0
66.0,ხს.სპირტ.შინაგ.,3.0
67.0,პლასტირი თხევად,5.0
68.0,პლასტირი,5.0
69.0,მიქსტურა,3.0
70.0,პოლიგრაფ.ნაწარმი,19.0
71.0,კვების პროდუქტ.,21.0
72.0,სამ.ელასტ.ნაწარმ,20.0
73.0,ომრონის პროდუქ.,20.0
74.0,რეზინის ნაწარმი,5.0
75.0,სარეკლამო ბრენდ,19.0
76.0,ბავშვთა მოვლა,14.0
77.0,თმის მოვლა,12.0
78.0,საკვები ზეთი,21.0
79.0,სასაჩუქრო ბარათი,19.0
103.0,სარეგისტრაციო ნ,19.0
104.0,კოლოფი,1.0
105.0,ხსნარი ზეთოვანი,3.0
106.0,სხვა საკვები,21.0
108.0,ცხოველთა მოვლა,1.0
